work_id,is_anomalous,anomaly_types
W00260,0,
W00261,1,PAYMENT_ANOMALY
W00262,0,
W00263,1,COST_ANOMALY
W00264,0,
W00265,1,LIFECYCLE_VIOLATION
W00266,1,PAYMENT_ANOMALY
W00267,0,
W00268,0,
W00269,0,
W00270,0,
W00271,0,
W00272,0,
W00273,0,
W00274,0,
W00275,0,
W00276,1,AGENCY_CONCENTRATION|LIFECYCLE_VIOLATION
W00277,1,COST_ANOMALY|MULTI_SIGNAL|PAYMENT_ANOMALY|THRESHOLD_BUNCHING
W00278,0,
W00279,0,
W00280,1,LIFECYCLE_VIOLATION
W00281,1,LIFECYCLE_VIOLATION
W00282,0,
W00283,0,
W00284,1,LIFECYCLE_VIOLATION
W00285,1,EVIDENCE_REUSE
W00286,0,
W00287,0,
W00288,1,EVIDENCE_REUSE
W00289,1,COST_ANOMALY
W00290,0,
W00291,0,
W00292,0,
W00293,1,DUPLICATE_WORK
W00294,0,
W00295,0,
W00296,0,
W00297,0,
W00298,0,
W00299,0,
W00300,0,
W00301,0,
W00302,0,
W00303,0,
W00304,0,
W00305,1,THRESHOLD_BUNCHING
W00306,0,
W00307,0,
W00308,0,
W00309,0,
W00310,1,LIFECYCLE_VIOLATION
W00311,0,
W00312,0,
W00313,0,
W00314,0,
W00315,0,
W00316,0,
W00317,1,AGENCY_CONCENTRATION
W00318,0,
W00319,0,
W00320,0,
W00321,1,LIFECYCLE_VIOLATION
W00322,0,
W00323,0,
W00324,0,
W00325,1,AGENCY_CONCENTRATION
W00326,0,
W00327,0,
W00328,0,
W00329,0,
W00330,1,COST_ANOMALY|PAYMENT_ANOMALY
W00331,0,
W00332,0,
W00333,0,
W00334,0,
W00335,0,
W00336,0,
W00337,0,
W00338,0,
W00339,1,THRESHOLD_BUNCHING
W00340,1,AGENCY_CONCENTRATION
W00341,0,
W00342,0,
W00343,0,
W00344,0,
W00345,0,
W00346,0,
W00347,0,
W00348,0,
W00349,1,LIFECYCLE_VIOLATION
W00350,0,
W00351,0,
W00352,0,
W00353,0,
W00354,1,COST_ANOMALY|MULTI_SIGNAL|PAYMENT_ANOMALY|THRESHOLD_BUNCHING
W00355,0,
W00356,1,THRESHOLD_BUNCHING
W00357,0,
W00358,0,
W00359,0,
W00360,0,
W00361,0,
W00362,0,
W00363,0,
W00364,0,
W00365,0,
W00366,0,
W00367,0,
W00368,0,
W00369,0,
W00370,1,EVIDENCE_REUSE
W00371,0,
W00372,0,
W00373,0,
W00374,0,
W00375,1,DUPLICATE_WORK
W00376,0,
W00377,0,
W00378,0,
W00379,0,
W00380,0,
W00381,0,
W00382,0,
W00383,0,
W00384,1,COST_ANOMALY|MULTI_SIGNAL|PAYMENT_ANOMALY|THRESHOLD_BUNCHING
W00385,1,THRESHOLD_BUNCHING
W00386,0,
W00387,0,
W00388,0,
W00389,1,AGENCY_CONCENTRATION
W00390,0,
W00391,0,
W00392,1,AGENCY_CONCENTRATION|LIFECYCLE_VIOLATION|THRESHOLD_BUNCHING
W00393,0,
W00394,1,AGENCY_CONCENTRATION|COST_ANOMALY|MULTI_SIGNAL|PAYMENT_ANOMALY|THRESHOLD_BUNCHING
W00395,0,
W00396,0,
W00397,0,
W00398,0,
W00399,0,
W00400,0,
W00401,1,DUPLICATE_WORK
W00402,1,DUPLICATE_WORK
W00403,1,DUPLICATE_WORK
W00404,1,DUPLICATE_WORK
W00405,1,DUPLICATE_WORK
W00406,1,DUPLICATE_WORK
