implementing_agency,change_period,shift_t,mix_js,change_score,n_periods,works_before,works_after,rs_before,rs_after,change_description
BEED(DISTRICT COLLECTOR BEED_IDA),2024Q4,3.8515060125696245,0.5243889384135816,0.8721710829643365,9,154,122,118069959.0,139960448.0,BEED(DISTRICT COLLECTOR BEED_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.52); 51 works/quarter -> 20 works/quarter; 2% round-number amounts -> 90% round-number amounts; 0% repeated descriptions -> 27% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),2025Q3,3.7224361774060477,0.5662376001400669,0.8692584494344966,6,188,76,115489186.0,80698460.0,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.57); 63 works/quarter -> 25 works/quarter; 20% round-number amounts -> 90% round-number amounts; 61% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),2024Q4,4.034488154033282,0.48959609817083294,0.8691953967636403,10,495,253,131874712.0,95361253.0,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.49); 124 works/quarter -> 42 works/quarter; 48% round-number amounts -> 95% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),2025Q2,3.4694160346556258,0.7569821488736652,0.8645772503064426,10,458,173,199125631.0,85248250.0,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.76); 76 works/quarter -> 43 works/quarter; 2% round-number amounts -> 61% round-number amounts; 34% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),2024Q3,4.023913758948225,0.4836454610192876,0.8609823789647237,10,457,130,65882235.0,63332246.0,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.48); 152 works/quarter -> 19 works/quarter; 51% round-number amounts -> 96% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),2024Q4,3.4323391761985307,0.812085297165846,0.85923294280422,7,98,62,36153391.0,44086447.0,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.81); 33 works/quarter -> 16 works/quarter; 0% round-number amounts -> 3% round-number amounts; 23% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
YADGIR(Deputy Commsioner Yadgir_ida),2025Q1,3.501778747271772,0.6684359121475171,0.8588907494642762,7,129,51,74212793.0,47100000.0,YADGIR(Deputy Commsioner Yadgir_ida): behaviour shifts at 2025Q1 (archetype-mix JS 0.67); 43 works/quarter -> 13 works/quarter; 9% repeated descriptions -> 23% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SEHORE(DISTRICT COLLECTOR SEHORE_IDA),2025Q1,3.732096901715857,0.5333207012384764,0.8565730062586728,6,204,46,62126708.0,31821860.0,SEHORE(DISTRICT COLLECTOR SEHORE_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.53); 68 works/quarter -> 15 works/quarter; 61% round-number amounts -> 92% round-number amounts; 50% repeated descriptions -> 20% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DINDORI(District Collector Dindori_IDA),2025Q1,3.4337069469713355,0.7840355574934138,0.8554904086462422,6,35,71,18839168.0,26859309.0,DINDORI(District Collector Dindori_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.78); 9 works/quarter -> 36 works/quarter; 83% round-number amounts -> 33% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
NALGONDA(DISTRICT COLLECTOR NALGONDA),2025Q3,3.6342052053685943,0.5550112632858581,0.8548640886203813,7,228,71,61402924.1,32016219.0,NALGONDA(DISTRICT COLLECTOR NALGONDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.56); 57 works/quarter -> 24 works/quarter; 39% round-number amounts -> 78% round-number amounts; 0% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA),2024Q4,3.3687257300323323,0.941986683135227,0.8547475133297361,6,85,38,74732000.0,116115286.0,SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.94); 42 works/quarter -> 10 works/quarter; 33% round-number amounts -> 73% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BETUL(DISTRICT COLLECTOR BETUL_IDA),2023Q4,3.4639518708956403,0.6765976438501216,0.8490127820484404,14,125,376,20861760.0,104097119.0,BETUL(DISTRICT COLLECTOR BETUL_IDA): behaviour shifts at 2023Q4 (archetype-mix JS 0.68); 16 works/quarter -> 63 works/quarter; 58% round-number amounts -> 47% round-number amounts; 5% repeated descriptions -> 22% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
HARDOI(DISTRICT MAGISTRATE HARDOI_IDA),2024Q3,3.797902167881352,0.4869149391858722,0.8433276768089251,6,39,20,111081775.0,92820510.0,HARDOI(DISTRICT MAGISTRATE HARDOI_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.49); 13 works/quarter -> 7 works/quarter; 49% round-number amounts -> 10% round-number amounts; 0% repeated descriptions -> 33% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JODHPUR(DISTRICT COLLECTOR JODHPUR IDA),2025Q1,3.57807770981369,0.5241321469822958,0.8346304212350639,6,154,38,105687058.0,58059385.0,JODHPUR(DISTRICT COLLECTOR JODHPUR IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.52); 77 works/quarter -> 10 works/quarter; 42% round-number amounts -> 81% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MANSA(DEPUTY COMMISSIONER MANSA_IDA),2025Q3,3.7961210242783454,0.47190866653850544,0.8313645962131986,7,213,38,66650482.72,7494626.0,MANSA(DEPUTY COMMISSIONER MANSA_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.47); 43 works/quarter -> 19 works/quarter; 39% round-number amounts -> 86% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),2025Q3,3.843068471200413,0.46813051916652026,0.8310349096433425,8,455,126,145224017.8,108958953.0,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.47); 91 works/quarter -> 42 works/quarter; 52% round-number amounts -> 95% round-number amounts; 35% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),2024Q4,3.839972766931063,0.46228487944783764,0.8262969571237938,8,188,107,86185685.0,118072000.0,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.46); 94 works/quarter -> 18 works/quarter; 52% round-number amounts -> 91% round-number amounts; 24% repeated descriptions -> 6% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),2024Q1,3.799460813247189,0.4602116423192502,0.821052417756675,8,154,188,42176937.0,137518365.0,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.46); 77 works/quarter -> 31 works/quarter; 10% round-number amounts -> 71% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA),2025Q2,3.4402792555158355,0.5821872446782324,0.8189074762873934,6,154,34,98105041.0,44848794.0,BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.58); 77 works/quarter -> 8 works/quarter; 54% round-number amounts -> 98% round-number amounts; 57% repeated descriptions -> 40% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KENDRAPARA(DISTRICT COLLECTOR KENDRAPARA_IDA),2024Q4,3.5212680152210845,0.5134745195504418,0.8124877353862403,7,82,93,71831538.0,85800000.0,KENDRAPARA(DISTRICT COLLECTOR KENDRAPARA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.51); 41 works/quarter -> 19 works/quarter; 42% round-number amounts -> 93% round-number amounts; 0% repeated descriptions -> 6% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
EAST(COMMISSIONER EAST),2025Q2,3.783916617461284,0.4496579390981643,0.8108241645960345,7,43,85,50035986.0,50069715.0,EAST(COMMISSIONER EAST): behaviour shifts at 2025Q2 (archetype-mix JS 0.45); 11 works/quarter -> 28 works/quarter; 11% round-number amounts -> 0% round-number amounts; 11% repeated descriptions -> 84% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA),2024Q1,3.352443673275956,0.628235725875344,0.810304751226163,6,369,151,79671232.0,51400000.0,BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.63); 184 works/quarter -> 38 works/quarter; 0% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA),2025Q1,3.3077336687887025,0.6942748761603621,0.8093049424017614,7,181,107,64115838.0,23025000.0,RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.69); 60 works/quarter -> 27 works/quarter; 0% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),2024Q4,3.99622511530415,0.42388050037502645,0.807421950206966,6,156,62,76998000.0,31427000.0,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.42); 78 works/quarter -> 16 works/quarter; 19% round-number amounts -> 37% round-number amounts; 5% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA),2024Q3,3.5990730774490585,0.47114464246569343,0.8052128572841558,8,163,101,111476433.0,122692331.0,DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.47); 82 works/quarter -> 17 works/quarter; 34% round-number amounts -> 67% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
AJMER(DISTRICT COLLECTOR AJMER_IDA),2025Q1,3.437804103218687,0.5507066773920204,0.8050117300530217,8,201,92,92190123.0,61058167.0,AJMER(DISTRICT COLLECTOR AJMER_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.55); 67 works/quarter -> 18 works/quarter; 18% round-number amounts -> 37% round-number amounts; 0% repeated descriptions -> 6% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),2025Q4,3.92219969262591,0.42454243049103885,0.804380173381394,10,2703,50,390449606.64,61000724.0,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.42); 338 works/quarter -> 25 works/quarter; median Rs.10^4.75 -> median Rs.10^5.74; 2% round-number amounts -> 27% round-number amounts; 27% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),2025Q4,3.2738703554145623,0.7007263731010335,0.7983086593299765,8,238,22,224722326.28,27879421.0,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR): behaviour shifts at 2025Q4 (archetype-mix JS 0.70); 40 works/quarter -> 11 works/quarter; 3% round-number amounts -> 5% round-number amounts; 1% repeated descriptions -> 45% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA),2025Q3,3.7464846999286574,0.4461114632463116,0.7973469240844532,7,142,135,108673862.0,74760601.0,DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.45); 28 works/quarter -> 68 works/quarter; 36% round-number amounts -> 93% round-number amounts; 0% repeated descriptions -> 4% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),2024Q1,3.339740165400753,0.5587944164367804,0.7842544270691438,8,61,87,76266197.0,82810435.0,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.56); 30 works/quarter -> 14 works/quarter; 6% round-number amounts -> 21% round-number amounts; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAMANAGARA(DEPUTY COMMISSIONER RAMANAGARA_IDA),2024Q3,3.2401671731820736,0.702092859276124,0.7834344460451047,8,55,153,58397229.0,77095401.0,RAMANAGARA(DEPUTY COMMISSIONER RAMANAGARA_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.70); 97% round-number amounts -> 81% round-number amounts; 44% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),2024Q1,3.9642238836414867,0.4085068794512092,0.7800117738514841,9,37,305,14556856.0,81942124.0,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.41); 18 works/quarter -> 44 works/quarter; 18% round-number amounts -> 73% round-number amounts; 16% repeated descriptions -> 42% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KARUR(DISTRICT COLLECTOR KARUR_IDA),2025Q3,3.505800959388658,0.4689310755239302,0.7783908139536649,8,154,20,79848766.0,25662385.0,KARUR(DISTRICT COLLECTOR KARUR_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.47); 31 works/quarter -> 7 works/quarter; 41% round-number amounts -> 85% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
NEEMUCH(District Collector Neemuch_IDA),2024Q3,3.472439182988092,0.4733180475019255,0.7766285503980441,6,227,83,29493286.0,9944846.0,NEEMUCH(District Collector Neemuch_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.47); 76 works/quarter -> 28 works/quarter; 50% round-number amounts -> 99% round-number amounts; 70% repeated descriptions -> 89% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SANGLI(DISTRICT COLLECTOR SANGLI_IDA),2025Q1,3.576892571236337,0.42594797646911314,0.7626353802534247,7,180,88,129952170.0,91674395.0,SANGLI(DISTRICT COLLECTOR SANGLI_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.43); 60 works/quarter -> 22 works/quarter; 40% round-number amounts -> 84% round-number amounts; 0% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA),2025Q4,3.1617318220853363,0.7024340910486409,0.757219714764857,6,161,17,47212456.0,9743991.0,SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.70); 40 works/quarter -> 8 works/quarter; 8% round-number amounts -> 82% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),2025Q1,3.2538971721633176,0.5779792159692168,0.7570486169450198,7,252,144,64474123.0,59750000.0,JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.58); 126 works/quarter -> 29 works/quarter; 0% repeated descriptions -> 17% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),2025Q1,3.577494158969602,0.42181482476894183,0.7559058765457698,9,120,38,91086703.0,39290869.0,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.42); 30 works/quarter -> 8 works/quarter; 27% round-number amounts -> 90% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
RATLAM(District Collector Ratlam_IDA),2025Q3,3.834823423851815,0.39106492289195277,0.7508830367117295,8,153,31,67130497.0,26150000.0,RATLAM(District Collector Ratlam_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.39); 31 works/quarter -> 10 works/quarter; 71% round-number amounts -> 100% round-number amounts; 36% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DHUBRI(DEPUTY COMMISSIONER DHUBRI_IDA),2024Q3,3.3258083398403686,0.4777628122422607,0.7428979212708644,9,55,85,28723800.0,39796429.0,DHUBRI(DEPUTY COMMISSIONER DHUBRI_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.48); 28 works/quarter -> 12 works/quarter; 0% round-number amounts -> 88% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3),2024Q4,3.5694397354039817,0.4085575240293128,0.7367863688886366,7,192,109,95109795.0,38196919.0,MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3): behaviour shifts at 2024Q4 (archetype-mix JS 0.41); 96 works/quarter -> 22 works/quarter; 98% round-number amounts -> 52% round-number amounts; 1% repeated descriptions -> 3% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA),2025Q2,3.3764267278588465,0.453104247475111,0.7365767039165378,6,70,42,69775049.0,16820000.0,UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.45); 35 works/quarter -> 10 works/quarter; 39% round-number amounts -> 85% round-number amounts; 0% repeated descriptions -> 11% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA),2024Q3,3.545576980085381,0.4124728167854146,0.7359405804454789,8,82,114,160498742.0,135701009.0,THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.41); 41 works/quarter -> 19 works/quarter; 16% round-number amounts -> 57% round-number amounts; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),2024Q4,3.1970041048098174,0.5689744805722694,0.7348768910244319,9,663,404,70917770.0,75274130.0,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.57); 221 works/quarter -> 67 works/quarter; 13% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA),2024Q3,3.7755346927509668,0.38480804954544173,0.7322007000234266,10,255,253,193119503.0,279764276.0,PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.38); 85 works/quarter -> 36 works/quarter; 0% round-number amounts -> 17% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
