work_ref,duration_days,event_observed,entry_days,log_amount,is_sanctioned,archetype_id,state_name
MP3019056-W168,1002.0,False,0.0,5.698970004336019,False,9,Madhya Pradesh
MP3018949-W174,999.0,False,0.0,5.698970004336019,False,5,Andhra Pradesh
MP3018949-W175,999.0,False,0.0,5.692474129374209,False,5,Andhra Pradesh
MP3017208-W191,995.0,False,0.0,5.977723605288848,False,7,Bihar
MP3017208-W192,995.0,False,0.0,5.977723605288848,False,7,Bihar
MP3017447-W193,995.0,False,0.0,5.491361693834273,False,0,Punjab
MP3017447-W194,995.0,False,0.0,5.394451680826216,False,29,Punjab
MP3017447-W196,995.0,False,0.0,5.491361693834273,False,0,Punjab
MP3017373-W198,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W199,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W200,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W201,1126.0,False,0.0,5.0,True,45,Odisha
MP3018368-W201,994.0,False,0.0,6.0,False,22,Haryana
MP3017373-W202,1126.0,False,0.0,5.0,True,45,Odisha
MP3018358-W202,992.0,False,0.0,5.697665162647675,False,27,Bihar
MP3017373-W203,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W204,1126.0,False,0.0,5.0,True,45,Odisha
MP3018358-W204,992.0,False,0.0,5.697665162647675,False,27,Bihar
MP3017373-W205,1126.0,False,0.0,5.0,True,45,Odisha
MP3018358-W205,992.0,False,0.0,5.697665162647675,False,27,Bihar
MP3017373-W206,1126.0,False,0.0,5.0,True,45,Odisha
MP3018358-W206,992.0,False,0.0,5.697665162647675,False,27,Bihar
MP3017373-W207,1126.0,False,0.0,5.0,True,45,Odisha
MP3017511-W207,984.0,False,0.0,5.698555489645322,False,13,Punjab
MP3017373-W208,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W209,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W210,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W211,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W212,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W213,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W214,767.0,True,0.0,5.0,True,45,Odisha
MP3017373-W215,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W216,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W217,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W218,1126.0,False,0.0,5.0,True,45,Odisha
MP3018963-W218,973.0,False,0.0,5.9994563574838,False,46,Bihar
MP3017373-W219,1126.0,False,0.0,5.0,True,45,Odisha
MP3018936-W219,973.0,False,0.0,5.687289899698552,False,44,Andhra Pradesh
MP3017373-W220,1126.0,False,0.0,5.0,True,45,Odisha
MP3018936-W220,973.0,False,0.0,5.698665891746858,False,44,Andhra Pradesh
MP3017373-W221,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W222,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W223,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W224,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W225,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W226,1126.0,False,0.0,5.0,True,45,Odisha
MP3017480-W226,971.0,False,0.0,6.392543428522743,False,24,West Bengal
MP3017373-W227,1126.0,False,0.0,5.0,True,45,Odisha
MP3017343-W228,967.0,False,0.0,6.0,False,20,Uttar Pradesh
MP3017373-W228,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W229,767.0,True,0.0,5.0,True,45,Odisha
MP3017373-W230,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W231,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W232,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W233,1126.0,False,0.0,5.0,False,45,Odisha
MP3017447-W233,965.0,False,0.0,5.352953911710088,False,29,Punjab
MP3017373-W234,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W235,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W236,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W237,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W238,1126.0,False,0.0,5.0,True,45,Odisha
MP3017373-W239,1126.0,False,0.0,6.270678836144707,True,4,Odisha
MP3017373-W240,1126.0,False,0.0,6.252853030979893,True,4,Odisha
MP3017373-W241,1126.0,False,0.0,6.130976691605617,True,4,Odisha
MP3021881-W241,963.0,False,0.0,5.698970004336019,False,25,Andhra Pradesh
MP3017373-W242,1126.0,False,0.0,6.2345172835126865,True,4,Odisha
MP3021881-W242,963.0,False,0.0,5.698970004336019,False,49,Andhra Pradesh
MP3017373-W243,1126.0,False,0.0,6.214843848047698,True,4,Odisha
MP3021881-W243,963.0,False,0.0,6.0,False,9,Andhra Pradesh
MP3017373-W244,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3021881-W244,963.0,False,0.0,5.698970004336019,False,23,Andhra Pradesh
MP3017373-W245,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W246,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018959-W246,961.0,False,0.0,6.113087952537482,False,38,Bihar
MP3017373-W247,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W248,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W249,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W250,1125.0,False,0.0,4.872156272748293,True,38,Odisha
MP3017373-W251,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W252,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018370-W252,956.0,False,0.0,6.113943352306837,False,12,Jharkhand
MP3017373-W253,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018975-W253,949.0,False,0.0,6.2878017299302265,False,38,Bihar
MP3017373-W254,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W255,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3018370-W255,948.0,False,0.0,6.079181246047625,False,25,Jharkhand
MP3017373-W256,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3019000-W256,944.0,False,0.0,6.297366513759765,False,38,Gujarat
MP3017373-W257,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018936-W257,943.0,False,0.0,6.17577439805085,False,1,Andhra Pradesh
MP3017373-W258,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W259,1125.0,False,0.0,4.8779469516291885,True,22,Odisha
MP3017373-W260,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W261,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W262,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W263,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W264,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W265,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W266,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W267,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017396-W267,936.0,False,0.0,5.845098040014257,False,23,Jammu And Kashmir
MP3017373-W268,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W269,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W270,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W271,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W272,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W273,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017445-W273,931.0,False,0.0,5.3979400086720375,False,0,Punjab
MP3017373-W274,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W275,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W276,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W277,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018338-W277,918.0,False,0.0,5.1279304689114324,False,37,Andhra Pradesh
MP3017373-W278,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3018338-W278,918.0,False,0.0,5.139416221796662,False,37,Andhra Pradesh
MP3017373-W279,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W280,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W281,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W282,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017400-W282,917.0,False,0.0,5.6020599913279625,False,18,Karnataka
MP3017373-W283,1125.0,False,0.0,4.872156272748293,True,15,Odisha
MP3017373-W284,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W285,1125.0,False,0.0,4.883661435153617,True,22,Odisha
MP3017373-W286,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018981-W286,915.0,False,0.0,5.9997745426526485,False,49,Bihar
MP3017373-W287,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018981-W287,915.0,False,0.0,6.113006940000935,False,13,Bihar
MP3017373-W288,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3019039-W288,913.0,False,0.0,5.694605198933568,False,44,Karnataka
MP3017373-W289,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W290,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017447-W290,913.0,False,0.0,5.590395947184013,False,43,Punjab
MP3017373-W291,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W292,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W293,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W294,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W295,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W296,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W297,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W298,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W299,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W300,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W301,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W302,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W303,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W304,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W305,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W306,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W307,1125.0,False,0.0,4.883661435153617,True,22,Odisha
MP3019127-W307,903.0,False,0.0,5.697229342759718,False,15,Punjab
MP3017373-W308,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W309,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W310,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W311,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W312,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018969-W312,901.0,False,0.0,6.1709947020363005,False,39,Bihar
MP3017373-W313,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018969-W313,901.0,False,0.0,5.995415798542415,False,39,Bihar
MP3017373-W314,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018988-W314,901.0,False,0.0,4.949390006644912,False,26,Chhattisgarh
MP3017373-W315,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3019230-W315,894.0,False,0.0,5.698970004336019,False,46,Uttarakhand
MP3017373-W316,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W317,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W318,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W319,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W320,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W321,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017451-W321,893.0,False,0.0,6.041392685158225,False,9,Rajasthan
MP3017373-W322,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W323,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W324,1125.0,False,0.0,4.880813592280791,True,22,Odisha
MP3017373-W325,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W326,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018342-W326,890.0,False,0.0,6.3498364068701685,False,9,Andhra Pradesh
MP3017373-W327,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W328,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3023122-W328,889.0,False,0.0,5.65359838184329,False,29,Punjab
MP3017373-W329,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W330,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017463-W330,889.0,False,0.0,5.698970004336019,False,39,Uttar Pradesh
MP3017373-W331,1125.0,False,0.0,4.872156272748293,True,44,Odisha
MP3017373-W332,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W333,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W334,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W335,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W336,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018342-W336,888.0,False,0.0,6.049128052351683,False,30,Andhra Pradesh
MP3017373-W337,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W338,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018977-W338,887.0,False,0.0,5.910051013915894,False,38,Gujarat
MP3017373-W339,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W340,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W341,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W342,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W343,1125.0,False,0.0,4.897627091290442,True,2,Odisha
MP3017373-W344,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W345,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W346,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W347,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W348,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W349,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W350,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3018944-W350,882.0,False,0.0,5.698970004336019,False,5,Andhra Pradesh
MP3017373-W351,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W352,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W353,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W354,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W355,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W356,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017289-W357,880.0,False,0.0,6.088503576751205,False,5,Rajasthan
MP3017373-W357,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W358,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W359,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W360,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W361,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W362,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W363,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W364,1125.0,False,0.0,4.880813592280791,True,22,Odisha
MP3017373-W365,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W366,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W367,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W368,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W369,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W370,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W371,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W372,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W373,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W374,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W375,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W376,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W377,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W378,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W379,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W380,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W381,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018999-W381,876.0,False,0.0,5.6959192528314,False,47,Gujarat
MP3017373-W382,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W383,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3018999-W383,876.0,False,0.0,5.6959192528314,False,47,Gujarat
MP3017373-W384,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3019069-W384,875.0,False,0.0,6.175511813363448,False,9,Madhya Pradesh
MP3017373-W385,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W386,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W387,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W388,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W389,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W390,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W391,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W392,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W393,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W394,1125.0,False,0.0,4.872156272748293,True,2,Odisha
MP3017373-W395,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W396,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W397,1125.0,False,0.0,4.886490725172482,True,22,Odisha
MP3017373-W398,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W399,1125.0,False,0.0,4.872156272748293,True,22,Odisha
MP3017373-W400,368.0,True,0.0,5.3979400086720375,True,22,Odisha
MP3017394-W401,872.0,False,0.0,6.3979400086720375,False,49,Haryana
MP3017373-W402,1123.0,False,0.0,5.301029995663981,True,2,Odisha
MP3017375-W402,872.0,False,0.0,5.652420410806234,False,5,Andhra Pradesh
MP3017373-W403,1123.0,False,0.0,5.301029995663981,True,2,Odisha
MP3017375-W403,872.0,False,0.0,5.629162817111945,False,5,Andhra Pradesh
MP3017373-W404,1123.0,False,0.0,5.3979400086720375,False,9,Odisha
MP3017375-W404,872.0,False,0.0,5.601690684040503,False,5,Andhra Pradesh
MP3017375-W405,872.0,False,0.0,5.69345608977978,False,5,Andhra Pradesh
MP3017373-W406,1123.0,False,0.0,5.301029995663981,True,1,Odisha
MP3017375-W406,872.0,False,0.0,5.397039216962717,False,12,Andhra Pradesh
MP3017373-W407,1123.0,False,0.0,5.301029995663981,True,18,Odisha
MP3017375-W407,872.0,False,0.0,5.652801186940374,False,5,Andhra Pradesh
MP3018946-W410,871.0,False,0.0,6.301029995663981,False,9,Andhra Pradesh
MP3017373-W412,1123.0,False,0.0,5.3979400086720375,True,18,Odisha
MP3017373-W414,1123.0,False,0.0,5.3979400086720375,True,18,Odisha
MP3017373-W415,1123.0,False,0.0,5.3979400086720375,True,18,Odisha
MP3017373-W416,1123.0,False,0.0,5.3979400086720375,False,9,Odisha
MP3017373-W417,1123.0,False,0.0,5.301029995663981,True,13,Odisha
MP3019203-W418,869.0,False,0.0,5.845098040014257,False,34,Uttar Pradesh
MP3019203-W419,869.0,False,0.0,5.785285691361006,False,34,Uttar Pradesh
MP3019203-W420,869.0,False,0.0,5.650159818462047,False,34,Uttar Pradesh
MP3019214-W421,869.0,False,0.0,6.0,False,46,Uttar Pradesh
MP3017373-W423,334.0,True,0.0,5.301029995663981,True,5,Odisha
MP3017373-W424,346.0,True,0.0,5.301029995663981,True,5,Odisha
MP3019125-W424,867.0,False,0.0,5.393136300269217,False,0,Punjab
MP3017331-W425,867.0,False,0.0,6.176091259055681,False,44,Uttar Pradesh
MP3017373-W425,261.0,True,0.0,5.3979400086720375,True,22,Odisha
MP3017373-W428,1123.0,False,0.0,5.3979400086720375,False,49,Odisha
MP3017373-W435,1123.0,False,0.0,5.3979400086720375,False,18,Odisha
MP3017373-W436,388.0,True,0.0,5.301029995663981,True,5,Odisha
MP3018338-W438,866.0,False,0.0,5.689722529591206,False,19,Andhra Pradesh
MP3018338-W439,866.0,False,0.0,5.682281392746845,False,19,Andhra Pradesh
MP3017373-W440,1114.0,False,0.0,5.0,True,45,Odisha
MP3018338-W440,866.0,False,0.0,6.0,False,9,Andhra Pradesh
MP3017373-W441,1114.0,False,0.0,5.301029995663981,False,9,Odisha
MP3018397-W441,863.0,False,0.0,4.99563519459755,False,40,Telangana
MP3017373-W442,1114.0,False,0.0,5.301029995663981,True,22,Odisha
MP3018397-W442,863.0,False,0.0,4.99563519459755,False,40,Telangana
MP3018397-W443,863.0,False,0.0,4.99563519459755,False,3,Telangana
MP3017373-W444,1114.0,False,0.0,5.301029995663981,True,9,Odisha
MP3017373-W445,1114.0,False,0.0,5.301029995663981,False,29,Odisha
MP3017373-W447,1114.0,False,0.0,5.301029995663981,False,2,Odisha
MP3017289-W451,858.0,False,0.0,5.983435029170236,False,40,Rajasthan
MP3017373-W451,755.0,True,0.0,5.301029995663981,True,18,Odisha
MP3018398-W452,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3018398-W453,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3018398-W454,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3017373-W455,755.0,True,0.0,5.698970004336019,True,49,Odisha
MP3018398-W455,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3017373-W456,1114.0,False,0.0,5.0,False,22,Odisha
MP3018398-W456,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3017373-W457,325.0,True,0.0,5.477121254719663,True,5,Odisha
MP3018398-W457,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3018398-W458,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3017373-W459,1114.0,False,0.0,5.477121254719663,True,5,Odisha
MP3018398-W459,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3018398-W460,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3017373-W461,1114.0,False,0.0,5.301029995663981,False,5,Odisha
MP3018398-W461,855.0,False,0.0,5.301029995663981,False,27,Telangana
MP3017373-W462,1114.0,False,0.0,5.301029995663981,False,49,Odisha
MP3017373-W463,1114.0,False,0.0,5.301029995663981,False,49,Odisha
MP3017373-W464,1114.0,False,0.0,5.301029995663981,False,18,Odisha
MP3017373-W465,252.0,True,0.0,5.301029995663981,True,18,Odisha
MP3017373-W467,1114.0,False,0.0,5.3979400086720375,True,23,Odisha
MP3017373-W468,1114.0,False,0.0,5.301029995663981,False,1,Odisha
MP3017373-W469,1114.0,False,0.0,5.301029995663981,True,9,Odisha
MP3018340-W469,855.0,False,0.0,6.3979400086720375,False,9,Andhra Pradesh
MP3017373-W470,1114.0,False,0.0,5.3979400086720375,True,18,Odisha
MP3019009-W471,854.0,False,0.0,5.204119982655925,False,0,Haryana
MP3017485-W474,1112.0,False,0.0,6.079181246047625,True,26,West Bengal
MP3017485-W475,284.0,True,0.0,6.814348231151404,True,10,West Bengal
MP3017485-W476,1111.0,False,0.0,6.989004615698537,True,22,West Bengal
MP3017485-W478,183.0,True,0.0,5.788258898665799,True,19,West Bengal
MP3017485-W479,168.0,True,0.0,5.856520451502716,True,19,West Bengal
MP3018342-W479,854.0,False,0.0,5.698970004336019,False,47,Andhra Pradesh
MP3017485-W480,162.0,True,0.0,5.746829509699755,True,44,West Bengal
MP3017485-W481,795.0,True,0.0,5.785878408150312,True,29,West Bengal
MP3017485-W482,1001.0,True,0.0,6.3941792857743405,True,18,West Bengal
MP3019013-W483,853.0,False,0.0,5.698970004336019,False,44,Himachal Pradesh
MP3017485-W484,845.0,True,0.0,5.8467353420954655,True,18,West Bengal
MP3017485-W485,170.0,True,0.0,5.902209649022763,True,13,West Bengal
MP3017485-W486,203.0,True,0.0,6.041294365551637,True,19,West Bengal
MP3017485-W487,169.0,True,0.0,5.65037552812885,True,44,West Bengal
MP3017485-W488,181.0,True,0.0,5.7615482284225195,True,44,West Bengal
MP3017485-W489,946.0,True,0.0,6.698970004336019,True,40,West Bengal
MP3018382-W489,853.0,False,0.0,5.859398315582666,False,4,Madhya Pradesh
MP3017485-W490,1111.0,False,0.0,6.190529187202636,True,13,West Bengal
MP3017485-W491,1111.0,False,0.0,5.698970004336019,True,12,West Bengal
MP3018944-W491,852.0,False,0.0,6.301029995663981,False,9,Andhra Pradesh
MP3017485-W492,1111.0,False,0.0,5.698970004336019,True,29,West Bengal
MP3017472-W493,851.0,False,0.0,5.223495940962395,False,33,Uttar Pradesh
