implementing_agency,period,n_works_in_period,log_median_amount,round_rate,completion_rate,median_delay,templating_rate,backdated_rate,rs_total
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2024Q1,38,5.69895176358472,0.47368421052631576,0.42105263157894735,558.0,0.05263157894736842,0.0,55565388.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2024Q3,8,5.868938178332911,0.25,0.125,600.0,0.0,0.0,7852876.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2024Q4,62,5.6020599913279625,0.8387096774193549,0.08064516129032258,447.0,0.0,0.0,31909263.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2025Q1,91,5.6987206477312125,0.4065934065934066,0.2087912087912088,386.0,0.03296703296703297,0.0,68397312.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2025Q2,39,5.3979400086720375,0.6923076923076923,0.15384615384615385,320.0,0.0,0.0,21974381.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2025Q3,92,5.628388930050312,0.6521739130434783,0.03260869565217391,166.0,0.0,0.0,89962794.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2025Q4,9,5.698970004336019,0.6666666666666666,0.4444444444444444,119.0,0.0,0.0,9871953.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2026Q1,186,4.599528289745556,0.3763440860215054,0.0,345.0,0.021505376344086023,0.0,56906301.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2022Q2,5,5.698497234706368,0.0,0.4,1404.0,0.0,0.0,2396084.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2022Q3,14,5.698970004336019,0.8571428571428571,0.0,345.0,0.0,0.0,6799032.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2022Q4,28,5.698669368522549,0.25,0.17857142857142858,1210.0,0.07142857142857142,0.0,13285756.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2023Q3,7,5.903057956592768,0.0,0.14285714285714285,956.0,0.0,0.0,4886611.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2023Q4,69,5.698831876727319,0.014492753623188406,0.08695652173913043,875.0,0.0,0.0,44723493.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2024Q1,76,5.953786743717143,0.07894736842105263,0.2631578947368421,735.0,0.0,0.0,65705390.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2024Q4,5,5.301029995663981,1.0,0.0,345.0,0.0,0.0,1000000.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2025Q1,70,5.698970004336019,0.9857142857142858,0.014285714285714285,367.0,0.0,0.0,43093759.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2025Q2,28,6.0,0.9285714285714286,0.03571428571428571,257.0,0.0,0.0,31976921.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2025Q3,4,6.021189299069938,1.0,0.0,345.0,0.0,0.0,4100000.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2025Q4,60,6.0,1.0,0.0,345.0,0.0,0.0,55900000.0
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2026Q1,59,6.0,1.0,0.0,345.0,0.0,0.0,67650000.0
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),2023Q4,64,5.698970004336019,0.96875,0.046875,791.0,0.0,0.0,38100000.0
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),2024Q1,28,6.0,1.0,0.10714285714285714,737.0,0.0,0.0,28100000.0
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),2024Q3,19,5.3979400086720375,1.0,0.10526315789473684,316.5,0.0,0.0,7250000.0
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),2024Q4,3,6.0,0.6666666666666666,0.0,345.0,0.0,0.0,3057115.0
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),2025Q1,17,5.698970004336019,1.0,0.058823529411764705,368.0,0.0,0.0,18950000.0
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),2025Q3,63,5.698970004336019,0.9841269841269841,0.031746031746031744,182.0,0.0,0.0,42240000.0
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),2025Q4,8,5.949390006644912,0.625,0.0,345.0,0.0,0.0,7730000.0
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),2026Q1,3,6.012228364187799,0.0,0.0,345.0,0.6666666666666666,0.0,3547114.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2023Q3,99,5.671315423465821,0.15151515151515152,0.43434343434343436,872.0,0.0,0.0,39350666.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2023Q4,87,5.691157553334592,0.2413793103448276,0.632183908045977,745.0,0.0,0.0,38853721.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2024Q1,4,5.698121433032044,0.5,0.75,681.0,0.0,0.0,2298048.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2024Q3,3,5.4765592036516475,0.6666666666666666,0.0,345.0,0.0,0.0,999612.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2024Q4,15,5.698970004336019,0.13333333333333333,0.6666666666666666,407.5,0.0,0.0,13985736.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2025Q1,8,5.8741918046790715,0.375,0.5,310.5,0.0,0.0,6009282.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2025Q2,32,5.698737160085884,0.34375,0.21875,285.0,0.28125,0.0,20189237.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2025Q3,20,5.698909633207143,0.3,0.1,270.5,0.0,0.0,12077420.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2025Q4,11,5.6988709739042465,0.36363636363636365,0.09090909090909091,127.0,0.0,0.0,7596459.0
AJMER(DISTRICT COLLECTOR AJMER_IDA),2026Q1,21,5.698970004336019,0.47619047619047616,0.0,345.0,0.0,0.0,15185769.0
AKOLA(DISTRICT COLLECTOR AKOLA_IDA),2023Q4,87,5.698970004336019,0.20689655172413793,0.8505747126436781,806.0,0.0,0.09195402298850575,57711108.0
AKOLA(DISTRICT COLLECTOR AKOLA_IDA),2024Q1,12,5.963039677530577,0.08333333333333333,0.9166666666666666,787.0,0.0,0.0,9070073.0
AKOLA(DISTRICT COLLECTOR AKOLA_IDA),2025Q1,46,5.994418344254497,0.32608695652173914,0.6521739130434783,342.0,0.0,0.0,53383612.0
AKOLA(DISTRICT COLLECTOR AKOLA_IDA),2025Q2,8,5.99333811736287,0.5,0.75,302.5,0.0,0.0,7687312.0
AKOLA(DISTRICT COLLECTOR AKOLA_IDA),2025Q3,1,5.740362689494244,1.0,0.0,345.0,0.0,0.0,550000.0
AKOLA(DISTRICT COLLECTOR AKOLA_IDA),2025Q4,1,5.301029995663981,1.0,0.0,345.0,0.0,0.0,200000.0
AKOLA(DISTRICT COLLECTOR AKOLA_IDA),2026Q1,28,6.0,1.0,0.0,345.0,0.0,0.0,28800000.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2021Q3,1,5.328844233408231,0.0,1.0,1389.0,0.0,0.0,213228.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2021Q4,1,5.336231519192715,0.0,0.0,345.0,0.0,0.0,216886.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2022Q1,2,6.323961864720065,0.5,0.0,345.0,0.0,0.0,4216886.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2022Q2,1,6.301029995663981,1.0,0.0,345.0,0.0,0.0,2000000.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2022Q4,2,5.810836815466775,0.0,1.0,959.0,0.0,0.0,1293799.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2023Q1,3,5.69811098945329,0.0,1.0,1082.0,0.0,0.0,2418297.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2023Q2,1,6.0,1.0,0.0,345.0,0.0,0.0,1000000.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2024Q1,82,5.914814753202353,0.34146341463414637,0.5853658536585366,551.0,0.0,0.012195121951219513,90784990.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2024Q3,13,6.176091259055681,0.6923076923076923,0.15384615384615385,484.5,0.07692307692307693,0.0,17441419.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2024Q4,14,6.161966616364075,0.7142857142857143,0.14285714285714285,525.0,0.0,0.0,18257169.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2025Q1,16,5.8608660271546436,0.8125,0.1875,231.0,0.0,0.0,13701844.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2025Q2,37,5.640092683755282,0.6486486486486487,0.24324324324324326,229.0,0.02702702702702703,0.0,23550651.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2025Q3,11,6.079181246047625,0.9090909090909091,0.0,345.0,0.0,0.0,14840000.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2025Q4,37,5.648360010980932,0.08108108108108109,0.13513513513513514,140.0,0.0,0.0,34254464.0
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),2026Q1,36,5.9916158794231995,0.7222222222222222,0.05555555555555555,28.5,0.0,0.0,39097202.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2023Q3,46,5.863751885768638,0.0,1.0,143.0,0.0,0.0,48806391.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2023Q4,6,5.717104386586375,0.0,1.0,161.0,0.0,0.0,3455258.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2024Q1,34,5.894052026672218,0.0,1.0,154.5,0.0,0.0,28610406.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2024Q4,11,6.171868855498169,0.0,1.0,337.0,0.0,0.0,15749966.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2025Q1,31,5.943206539597635,0.03225806451612903,0.8064516129032258,281.0,0.0,0.0,35937216.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2025Q2,1,5.921444555500725,0.0,1.0,152.0,0.0,0.0,834535.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2025Q3,46,6.154262338015368,0.043478260869565216,0.34782608695652173,143.5,0.0,0.0,64516742.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2025Q4,11,5.975891136401793,0.0,0.0,345.0,0.0,0.0,13856000.0
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),2026Q1,15,6.1112625136590655,0.0,0.0,345.0,0.0,0.0,17227000.0
ALIRAJPUR(District Collector Alirajpur_IDA),2019Q4,1,5.176091259055681,1.0,0.0,345.0,0.0,0.0,150000.0
ALIRAJPUR(District Collector Alirajpur_IDA),2020Q1,2,5.231724383328516,0.5,0.0,345.0,0.0,0.0,341000.0
ALIRAJPUR(District Collector Alirajpur_IDA),2021Q2,4,5.3979400086720375,1.0,0.0,345.0,0.0,0.0,1000000.0
ALIRAJPUR(District Collector Alirajpur_IDA),2023Q4,2,6.0,1.0,0.0,345.0,0.0,0.0,2000000.0
ALIRAJPUR(District Collector Alirajpur_IDA),2024Q1,11,5.477121254719663,0.7272727272727273,0.18181818181818182,708.0,0.36363636363636365,0.0,3556758.0
ALIRAJPUR(District Collector Alirajpur_IDA),2024Q4,5,5.823834035868611,0.0,0.0,345.0,1.0,0.0,3260440.0
ALIRAJPUR(District Collector Alirajpur_IDA),2025Q1,9,5.8728313817150575,0.0,0.0,345.0,0.0,0.0,6667619.0
ALIRAJPUR(District Collector Alirajpur_IDA),2025Q2,26,5.20197579793292,0.0,0.38461538461538464,353.0,0.07692307692307693,0.0,4139512.0
ALIRAJPUR(District Collector Alirajpur_IDA),2025Q3,2,5.814835360437344,0.0,0.0,345.0,0.0,0.0,1305766.0
ALIRAJPUR(District Collector Alirajpur_IDA),2025Q4,3,5.923232616954834,0.0,0.0,345.0,0.0,0.0,2415729.0
ALIRAJPUR(District Collector Alirajpur_IDA),2026Q1,17,5.20197579793292,0.0,0.0,345.0,0.0,0.0,5010339.0
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2023Q2,2,5.118142325782225,0.0,1.0,518.0,0.0,0.0,262526.0
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2023Q3,40,5.299317675674258,0.4,0.825,214.0,0.0,0.0,9599632.0
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2023Q4,74,5.176091259055681,0.35135135135135137,0.8378378378378378,147.0,0.0,0.0,12702073.0
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2024Q1,299,4.608526033577194,0.1806020066889632,0.6989966555183946,49.0,0.0,0.0,29178730.0
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2025Q1,5,5.698970004336019,0.6,0.6,389.0,0.0,0.0,3463615.0
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2025Q3,1,6.113943352306837,1.0,0.0,345.0,0.0,0.0,1300000.0
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2025Q4,9,5.301029995663981,1.0,0.0,345.0,0.0,0.0,2100000.0
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2026Q1,26,5.096910013008056,0.9615384615384616,0.0,345.0,0.0,0.0,5115505.0
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2023Q3,155,5.691277808997614,0.13548387096774195,0.864516129032258,780.0,0.0,0.0,75466328.04
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2023Q4,14,5.698313724051937,0.07142857142857142,0.9285714285714286,680.0,0.0,0.0,8814289.0
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2024Q1,11,5.775407997027582,0.09090909090909091,0.9090909090909091,555.5,0.0,0.0,8085465.0
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2024Q3,48,5.6976529656404,0.14583333333333334,0.8333333333333334,418.0,0.0,0.0,27910186.1
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2024Q4,21,5.9933480399232595,0.2857142857142857,0.7142857142857143,378.0,0.0,0.0,16780552.0
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2025Q1,10,6.07852714051439,0.4,0.5,289.0,0.0,0.0,16735391.0
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2025Q2,12,6.0,0.75,0.16666666666666666,227.0,0.0,0.0,16875368.0
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2025Q3,11,6.0,0.7272727272727273,0.18181818181818182,178.0,0.0,0.0,9296502.0
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2025Q4,8,5.903089986991944,0.875,0.125,115.0,0.0,0.0,5594676.0
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2026Q1,19,5.698970004336019,0.8947368421052632,0.0,345.0,0.0,0.0,16498000.0
AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),2025Q2,23,6.041392685158225,0.9130434782608695,0.0,345.0,0.17391304347826086,0.0,18974000.0
AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),2025Q3,21,5.6020599913279625,0.8571428571428571,0.09523809523809523,147.0,0.2857142857142857,0.0,11034900.0
AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),2025Q4,10,6.125806458139527,0.3,0.0,345.0,1.0,0.0,12502000.0
AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),2026Q1,10,5.977723605288848,0.9,0.0,345.0,0.4,0.0,8443000.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2023Q3,62,5.916823336537188,0.016129032258064516,0.9838709677419355,787.0,0.0,0.0,52786768.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2023Q4,7,5.828258278455885,0.0,0.7142857142857143,778.0,0.0,0.0,6467290.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2024Q1,3,5.398877073087318,0.0,1.0,647.0,0.0,0.0,906114.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2024Q3,29,5.927523827706248,0.06896551724137931,0.896551724137931,467.0,0.0,0.0,23521533.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2024Q4,11,5.954724790979063,0.2727272727272727,0.6363636363636364,427.0,0.0,0.0,8844247.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2025Q1,85,4.320146286111054,0.0,0.011764705882352941,341.0,0.0,0.0,6365967.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2025Q2,42,5.930694387664535,0.19047619047619047,0.047619047619047616,310.5,0.0,0.0,34287000.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2025Q3,9,5.698970004336019,0.4444444444444444,0.0,345.0,0.0,0.0,3684900.0
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),2025Q4,2,6.208306962353663,0.0,0.0,345.0,0.0,0.0,3231000.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2023Q1,19,6.0,0.8421052631578947,0.0,345.0,0.0,0.0,20540000.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2023Q3,45,5.999565488225982,0.7111111111111111,0.0,345.0,0.0,0.0,35661000.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2023Q4,12,5.920384242178358,0.6666666666666666,0.0,345.0,0.0,0.0,9435000.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2024Q1,21,5.999079188803683,0.6190476190476191,0.047619047619047616,521.0,0.0,0.0,19594882.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2024Q3,45,6.0,0.8222222222222222,0.0,345.0,0.044444444444444446,0.0,49810803.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2024Q4,5,5.845098040014257,0.6,0.0,345.0,0.0,0.0,4460000.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2025Q1,38,6.0,0.9210526315789473,0.0,345.0,0.0,0.0,42591000.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2025Q2,69,6.0,0.782608695652174,0.0,345.0,0.0,0.0,65946300.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2025Q3,58,6.0,0.8275862068965517,0.0,345.0,0.0,0.0,51135000.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2025Q4,46,6.0,0.9130434782608695,0.0,345.0,0.043478260869565216,0.0,36558000.0
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),2026Q1,26,5.910090545594068,0.8461538461538461,0.0,345.0,0.0,0.0,19235000.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2023Q3,1,5.477121254719663,1.0,1.0,345.0,0.0,1.0,300000.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2023Q4,58,5.2405492482825995,0.3103448275862069,0.6551724137931034,634.0,0.4482758620689655,0.05172413793103448,9663236.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2024Q1,131,5.3979400086720375,0.6946564885496184,0.9007633587786259,547.0,0.0,0.015267175572519083,39213488.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2024Q3,2,5.597164056913742,0.5,0.5,128.0,0.0,0.0,791032.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2024Q4,76,5.477121254719663,0.8947368421052632,0.6447368421052632,275.0,0.0,0.0,24975112.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2025Q1,46,5.477121254719663,0.8043478260869565,0.7391304347826086,260.0,0.0,0.0,19341401.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2025Q2,21,5.544068044350276,0.7142857142857143,0.5714285714285714,241.5,0.0,0.0,8311279.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2025Q3,78,5.477121254719663,0.9358974358974359,0.5256410256410257,169.0,0.0,0.0,29201761.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2025Q4,36,5.574031267727719,0.9722222222222222,0.2222222222222222,112.0,0.0,0.0,30064595.0
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2026Q1,31,5.477121254719663,0.9032258064516129,0.03225806451612903,76.0,0.0,0.0,16606000.0
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2023Q3,42,5.431926373911644,0.5714285714285714,0.8095238095238095,902.0,0.07142857142857142,0.0,12783564.2
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2023Q4,66,5.564964760847616,0.6666666666666666,0.803030303030303,792.0,0.19696969696969696,0.0,27451769.6
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2024Q1,63,5.6020599913279625,0.5873015873015873,0.8253968253968254,711.0,0.36507936507936506,0.0,39787823.0
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2024Q3,9,5.477121254719663,0.7777777777777778,0.3333333333333333,537.0,0.0,0.0,6290900.0
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2024Q4,10,5.590284403718162,0.3,0.8,444.0,0.0,0.0,17021755.0
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025Q1,37,5.698970004336019,0.8108108108108109,0.7297297297297297,333.0,0.24324324324324326,0.0,16577872.0
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025Q2,40,5.682125212138676,0.725,0.65,260.0,0.325,0.0,17912096.0
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025Q3,71,5.331427296520743,0.5492957746478874,0.2676056338028169,181.0,0.5492957746478874,0.0,36375795.0
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025Q4,1,5.0,1.0,0.0,345.0,0.0,0.0,100000.0
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2026Q1,67,5.690196080028514,0.8208955223880597,0.014925373134328358,129.0,0.40298507462686567,0.0,30471727.0
AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),2023Q3,84,5.223485557228413,0.0,1.0,106.0,0.5952380952380952,0.0,18464829.0
AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),2023Q4,110,5.223376513029724,0.0,1.0,165.0,0.35454545454545455,0.0,19679660.0
AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),2024Q1,72,5.223392092448771,0.0,0.9722222222222222,160.0,0.0,0.0,17287601.0
AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),2024Q4,11,6.090916580293686,0.0,1.0,122.0,0.0,0.0,13365769.0
AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),2025Q1,19,6.146649186452851,0.05263157894736842,0.8947368421052632,245.0,0.0,0.0,48059205.0
